Date,AAPL,AMZN,BA,BRK-B,CAT,CVX,DUK,F,GE,GOOGL,JNJ,JPM,KO,MSFT,NVDA,PFE,PG,SO,WMT,XOM
2012-07-31,18.40017318725586,11.664999961853027,61.19043731689453,84.83999633789062,60.83628463745117,65.74713897705078,39.934932708740234,5.146851062774658,78.72837829589844,15.800963401794434,48.72412109375,25.680023193359375,27.36838722229004,23.5568790435791,0.3104332685470581,14.116893768310547,45.43297576904297,27.84428596496582,19.17214584350586,52.50221633911133
2012-08-01,18.28118324279785,11.604499816894531,60.246639251708984,84.62000274658203,59.709266662597656,66.29911041259766,39.781734466552734,5.0628437995910645,78.65248107910156,15.793725967407227,48.83673095703125,25.680023193359375,27.439517974853516,23.508914947509766,0.3069942891597748,14.188005447387695,45.059871673583984,27.693941116333008,18.963512420654297,52.53847122192383
2012-08-02,18.310697555541992,11.540499687194824,59.60087203979492,84.08000183105469,60.0488166809082,65.54914855957031,39.74637985229492,4.995639324188232,77.85570526123047,15.695618629455566,48.182098388671875,25.087963104248047,27.012720108032227,23.333065032958984,0.30814048647880554,14.17615032196045,44.70790100097656,27.512813568115234,19.074268341064453,51.91584396362305
2012-08-03,18.548994064331055,11.748499870300293,60.27975082397461,85.58000183105469,61.42144775390625,66.67113494873047,40.41806411743164,5.090846538543701,79.52513122558594,16.00965690612793,48.65372085571289,25.74422264099121,27.3785400390625,23.780696868896484,0.31456026434898376,14.389498710632324,46.108768463134766,27.664714813232422,19.203062057495117,52.92537307739258
2012-08-06,18.755369186401367,11.69950008392334,60.34600067138672,85.1500015258789,62.38228225708008,66.78511047363281,40.18828201293945,5.124448776245117,79.56305694580078,16.046852111816406,48.45663070678711,25.894023895263672,27.31418800354004,23.94057273864746,0.321209192276001,14.377649307250977,46.32697677612305,27.688093185424805,19.13351821899414,52.86491775512695
2012-08-07,18.705961227416992,11.82800006866455,61.64579391479492,84.66999816894531,63.01082229614258,67.16912841796875,40.09400939941406,5.214056015014648,80.1322021484375,15.989936828613281,48.069480895996094,26.40048599243164,27.019493103027344,24.188365936279297,0.32441890239715576,14.069475173950195,46.615596771240234,27.542015075683594,19.05881118774414,53.14903259277344
2012-08-08,18.67432403564453,11.718999862670898,61.76171112060547,84.6500015258789,63.01082229614258,67.28311920166016,40.08811950683594,5.236459732055664,79.71482849121094,16.032121658325195,48.1117057800293,26.507488250732422,26.948366165161133,24.244319915771484,0.32625311613082886,14.122809410095215,46.967594146728516,27.419328689575195,19.244762420654297,53.366668701171875
2012-08-09,18.78083038330078,11.70300006866455,61.49677276611328,84.54000091552734,63.86328125,67.57711029052734,40.11758041381836,5.230859279632568,79.904541015625,16.035120010375977,48.090606689453125,26.33629035949707,26.839975357055664,24.38020896911621,0.33725810050964355,14.146522521972656,46.97463607788086,27.349225997924805,19.125629425048828,53.664794921875
2012-08-10,18.8101749420166,11.637499809265137,61.43882751464844,84.7699966430664,64.2533950805664,68.12910461425781,39.97616195678711,5.236459732055664,80.05632019042969,16.026382446289062,48.315853118896484,26.3719539642334,26.687557220458984,24.316261291503906,0.3351946771144867,14.188005447387695,47.0027961730957,27.413488388061523,19.08160972595215,53.81084442138672
2012-08-13,19.061298370361328,11.621999740600586,61.42227554321289,84.98999786376953,64.01499938964844,67.96712493896484,40.194175720214844,5.264461994171143,79.63892364501953,16.475971221923828,48.18912887573242,26.386241912841797,26.623191833496094,24.292274475097656,0.3395507335662842,14.057621002197266,46.798648834228516,27.33169174194336,19.009090423583984,53.62831497192383
